Museum,Website,City,State,Zip Code,General Admission,Senior,Student,Children
Museum of Bad Art,museumofbadart.org,Boston,Massachusetts,02144,$8.00 ,,,
Fuller Craft Museum,fullercraft.org,Brockton,Massachusetts,02324,$10.00 ,,,
Harvard Art Museums,harvardartmuseums.org,Cambridge,Massachusetts,02138,$20.00 ,,,
List Visual Arts Center,listart.mit.edu,Cambridge,Massachusetts,02139,$0.00 ,,,
Peabody Museum of Archaeology and Ethnology,peabody.harvard.edu,Cambridge,Massachusetts,02138,$15.00 ,,,
Museum of Russian Icons,museumofrussianicons.org,Clinton,Massachusetts,01545,$10.00 ,,,
Cape Cod Museum of Art,ccmoa.org,Dennis,Massachusetts,02633,$10.00 ,,,
Art Complex Museum,artcomplex.org,Duxbury,Massachusetts,02445,$0.00 ,,,
Fitchburg Art Museum,fitchburgartmuseum.org,Fitchburg,Massachusetts,01420,$9.00 ,,,
Danforth Museum,danforth.framingham.edu,Framingham,Massachusetts,01701,$11.00 ,,,
Cape Ann Museum,capeannmuseum.org,Gloucester,Massachusetts,01930,$12.00 ,,,
Fruitlands Museum,thetrustees.org/place/fruitlands,Harvard,Massachusetts,01451,$15.00 ,,,
Frelinghuysen Morris House and Studio,frelinghuysen.org,Lenox,Massachusetts,01262,$10.00 ,,,
DeCordova Museum and Sculpture Park,thetrustees.org/place/decordova,Lincoln,Massachusetts,01742,$14.00 ,,,
Massachusetts Museum of Contemporary Art,massmoca.org,North Adams,Massachusetts,01247,$20.00 ,,,
Smith College Museum of Art,smith.edu/artmuseum,Northampton,Massachusetts,01063,$0.00 ,,,
Provincetown Art Association and Museum,paam.org,Provincetown,Massachusetts,02657,$12.00 ,,,
Peabody Essex Museum,pem.org,Salem,Massachusetts,01970,$20.00 ,,,
Mount Holyoke College Art Museum,artmuseum.mtholyoke.edu,South Hadley,Massachusetts,01075,$0.00 ,,,
George Walter Vincent Smith Art Museum,springfieldmuseums.org/about/smith-art-museum,Springfield,Massachusetts,01105,$0.00 ,,,
Michele & Donald D’Amour Museum of Fine Arts,springfieldmuseums.org,Springfield,Massachusetts,01105,$13.00 ,,,
"Chesterwood, Norman Rockwell Museum",chesterwood.org,Stockbridge,Massachusetts,01262,$20.00 ,,,
Norman Rockwell Museum,nrm.org,Stockbridge,Massachusetts,01262,$20.00 ,,,
Rose Art Museum,brandeis.edu/rose,Waltham,Massachusetts,02453,$0.00 ,,,
Davis Museum and Cultural Center,wellesley.edu/davismuseum,Wellesley,Massachusetts,02481,$0.00 ,,,
Turn Park Art Space,turnpark.com,West Stockbridge,Massachusetts,01238,$10.00 ,,,
Clark Art Institute,clarkart.edu,Williamstown,Massachusetts,01267,$20.00 ,,,
Williams College Museum of Art,wcma.williams.edu,Williamstown,Massachusetts,01267,$0.00 ,,,
Worcester Art Museum,worcesterart.org,Worcester,Massachusetts,01609,$18.00 ,,,
University of Michigan Museum of Art,umma.umich.edu,Ann Arbor,Michigan,48109,$0.00 ,,,
Detroit Institute of Arts,dia.org,Detroit,Michigan,48202,$14.00 ,,,
Grand Rapids Art Museum,artmuseumgr.org,Grand Rapids,Michigan,49503,$10.00 ,,,
Minneapolis Institute of Art,artsmia.org,Minneapolis,Minnesota,55404,$0.00 ,,,
Walker Art Center,walkerart.org,Minneapolis,Minnesota,55403,$15.00 ,,,
The Museum of Russian Art,tmora.org,Minneapolis,Minnesota,55408,$12.00 ,,,
Mississippi Museum of Art,msmuseumart.org,Jackson,Mississippi,39202,$10.00 ,,,
Ohr-O'Keefe Museum of Art,georgeohr.org,Biloxi,Mississippi,39530,$10.00 ,,,
Lauren Rogers Museum of Art,lrma.org,Laurel,Mississippi,39401,$0.00 ,,,
Saint Louis Art Museum,slam.org,St. Louis,Missouri,63110,$0.00 ,,,
