,ID,Museum,Website,City,State,ZIP Code,General Admission,Median Income,Monthly Median Income,Index
24,25,San Francisco Museum of Modern Art,sfmoma.org,San Francisco,California,94103,25.0,111028.0,9252.3,27.0
221,227,Munson-Williams-Proctor Arts Institute,mwpai.org,Utica,New York,13502,12.0,53548.0,4462.3,26.9
199,205,Museum of Modern Art MoMA,moma.org,New York,New York,10019,25.0,113335.0,9444.6,26.5
86,92,Sheldon Swope Art Museum,swope.org,Terre Haute,Indiana,47807,5.0,22677.0,1889.8,26.5
47,51,Polk Museum of Art,polkmuseumofart.org,Lakeland,Florida,33801,10.0,45932.0,3827.7,26.1
185,191,Albany Institute of History & Art,albanyinstitute.org,Albany,New York,12210,10.0,46244.0,3853.7,25.9
336,345,Maryhill Museum of Art,maryhillmuseum.org,Maryhill,Washington,98620,12.0,55507.0,4625.6,25.9
28,29,Exploratorium,exploratorium.edu,San Francisco,California,94111,35.0,164107.0,13675.6,25.6
251,258,Jordan Schnitzer Museum of Art,jsma.uoregon.edu,Eugene,Oregon,97403,10.0,47021.0,3918.4,25.5
159,165,Yellowstone Art Museum,artmuseum.org,Billings,Montana,59101,12.0,56659.0,4721.6,25.4
94,100,Wichita Art Museum,wichitaartmuseum.org,Wichita,Kansas,67203,10.0,47367.0,3947.2,25.3
50,56,"Institute of Contemporary Art, Miami",icamiami.org,Miami,Florida,33137,15.0,71348.0,5945.7,25.2
196,202,Storm King Art Center,stormking.org,Mountainville,New York,12553,20.0,96088.0,8007.3,25.0
303,312,Modern Art Museum of Fort Worth,themodern.org,Fort Worth,Texas,76107,16.0,77277.0,6439.8,24.8
39,40,New Britain Museum of American Art,nbmaa.org,New Britain,Connecticut,6052,15.0,72917.0,6076.4,24.7
51,57,Museum of Contemporary Art North Miami,mocanomi.org,Miami,Florida,33161,10.0,49159.0,4096.6,24.4
2,3,Mobile Museum of Art,mobilemuseumofart.com,Mobile,Alabama,36608,12.0,59400.0,4950.0,24.2
34,35,Clyfford Still Museum,clyffordstillmuseum.org,Denver,Colorado,80204,15.0,74993.0,6249.4,24.0
52,58,Wolfsonian-FIU Museum,wolfsonian.org,Miami,Florida,33139,12.0,60971.0,5080.9,23.6
144,150,Clark Art Institute,clarkart.edu,Williamstown,Massachusetts,1267,20.0,101823.0,8485.2,23.6
38,39,Wadsworth Atheneum,thewadsworth.org,Hartford,Connecticut,6103,15.0,76395.0,6366.2,23.6
29,30,Santa Barbara Museum of Art,sbma.net,Santa Barbara,California,93101,15.0,76130.0,6344.2,23.6
334,343,Seattle Asian Art Museum,seattleartmuseum.org/visit/asian-art-museum,Seattle,Washington,98112,30.0,153204.0,12767.0,23.5
178,184,Museum of Indian Arts and Culture,miaclab.org,Santa Fe,New Mexico,87501,15.0,77400.0,6450.0,23.3
353,363,Museum of Wisconsin Art,wisconsinart.org,West Bend,Wisconsin,53095,15.0,77397.0,6449.8,23.3
245,252,Oklahoma City Museum of Art,okcmoa.com,Oklahoma City,Oklahoma,73102,12.0,62278.0,5189.8,23.1
187,193,Albright-Knox Art Gallery,albrightknox.org,Buffalo,New York,14222,15.0,79343.0,6611.9,22.7
43,46,Delaware Art Museum,delart.org,Wilmington,Delaware,19806,15.0,80196.0,6683.0,22.4
182,188,Taos Art Museum,taosartmuseum.org,Taos,New Mexico,87571,10.0,53915.0,4492.9,22.3
183,189,Harwood Museum of Art,harwoodmuseum.org,Taos,New Mexico,87571,10.0,53915.0,4492.9,22.3
184,190,Millicent Rogers Museum,millicentrogers.org,Taos,New Mexico,87571,10.0,53915.0,4492.9,22.3
193,199,Hyde Collection,hydecollection.org,Glens Falls,New York,12801,12.0,64665.0,5388.8,22.3
270,277,Newport Art Museum,newportartmuseum.org,Newport,Rhode Island,2840,15.0,81307.0,6775.6,22.1
197,203,Guggenheim,guggenheim.org,New York,New York,10128,25.0,137253.0,11437.8,21.9
207,213,Neue Galerie New York,neuegalerie.org,New York,New York,10128,25.0,137253.0,11437.8,21.9
192,198,Arnot Art Museum,arnotartmuseum.org,Elmira,New York,14901,7.0,38604.0,3217.0,21.8
354,364,National Museum of Wildlife Art,wildlifeart.org,Jackson Hole,Wyoming,83001,20.0,110734.0,9227.8,21.7
83,89,Eiteljorg Museum of American Indians and Western Art,eiteljorg.org,Indianapolis,Indiana,46204,15.0,84735.0,7061.2,21.2
231,238,Plains Art Museum,plainsart.org,Fargo,North Dakota,58102,10.0,56823.0,4735.2,21.1
262,269,The Andy Warhol Museum,warhol.org,Pittsburgh,Pennsylvania,15222,20.0,115298.0,9608.2,20.8
267,274,Trundle Manor,trundlemanor.com,Pittsburgh,Pennsylvania,15212,10.0,57837.0,4819.8,20.7
149,155,Grand Rapids Art Museum,artmuseumgr.org,Grand Rapids,Michigan,49503,10.0,58165.0,4847.1,20.6
98,104,Ogden Museum of Southern Art,ogdenmuseum.org,New Orleans,Louisiana,70130,13.5,78674.0,6556.2,20.6
54,60,Appleton Museum of Art,appletonmuseum.org,Ocala,Florida,34474,10.0,58678.0,4889.8,20.5
152,158,The Museum of Russian Art,tmora.org,Minneapolis,Minnesota,55408,12.0,70158.0,5846.5,20.5
200,206,Whitney Museum of American Art,whitney.org,New York,New York,10014,25.0,147267.0,12272.2,20.4
120,126,Harvard Art Museums,harvardartmuseums.org,Cambridge,Massachusetts,2138,20.0,118320.0,9860.0,20.3
331,340,Taubman Museum of Art,taubmanmuseum.org,Roanoke,Virginia,24011,10.0,59700.0,4975.0,20.1
202,208,Frick Collection,frick.org,New York,New York,10021,25.0,149432.0,12452.7,20.1
107,113,American Visionary Art Museum,avam.org,Baltimore,Maryland,21230,15.95,95470.0,7955.8,20.0
340,349,Phillips Collection,phillipscollection.org,Washington,District of Columbia,20008,20.0,123134.0,10261.2,19.5
41,44,Biggs Museum of American Art,biggsmuseum.org,Dover,Delaware,19901,10.0,61809.0,5150.8,19.4
284,291,Cheekwood Museum of Art,cheekwood.org,Nashville,Tennessee,37205,22.0,136100.0,11341.7,19.4
55,61,Orlando Museum of Art,omart.org,Orlando,Florida,32803,15.0,92557.0,7713.1,19.4
255,262,Brandywine River Museum,brandywine.org/museum,Chadds Ford,Pennsylvania,19348,18.0,113446.0,9453.8,19.0
49,55,Perez Art Museum Miami,pamm.org,Miami,Florida,33132,16.0,101518.0,8459.8,18.9
198,204,Metropolitan Museum of Art,metmuseum.org,New York,New York,10028,25.0,160244.0,13353.7,18.7
189,195,Fenimore Art Museum,fenimoreartmuseum.org,Cooperstown,New York,13326,12.0,77198.0,6433.2,18.7
174,180,New Mexico Museum of Art,nmartmuseum.org,Santa Fe,New Mexico,87501,12.0,77400.0,6450.0,18.6
180,186,Vladem Contemporary,www.nmartmuseum.org,Santa Fe,New Mexico,87501,12.0,77400.0,6450.0,18.6
177,183,IAIA Museum of Contemporary Native Arts,iaia.edu/mocna,Santa Fe,New Mexico,87501,12.0,77400.0,6450.0,18.6
105,111,Center for Maine Contemporary Art,cmcanow.org,Rockland,Maine,4841,8.0,52212.0,4351.0,18.4
203,209,The Morgan Library & Museum,themorgan.org,New York,New York,10016,22.0,145864.0,12155.3,18.1
173,179,Currier Museum of Art,currier.org,Manchester,New Hampshire,3104,12.0,80018.0,6668.2,18.0
269,276,Museum of Art of Puerto Rico,museoartepr.org,San Juan,Puerto Rico,927,6.0,40213.0,3351.1,17.9
273,280,Gibbes Museum of Art,gibbesmuseum.org,Charleston,South Carolina,29401,12.0,80886.0,6740.5,17.8
295,304,Dallas Contemporary,dallascontemporary.org,Dallas,Texas,75226,10.0,67612.0,5634.3,17.7
316,325,International Museum of Art & Science,theimasonline.org,McAllen,Texas,78501,7.0,47809.0,3984.1,17.6
339,348,National Museum of Women in the Arts,nmwa.org,Washington,District of Columbia,20005,16.0,109147.0,9095.6,17.6
164,170,Joslyn Art Museum,joslyn.org,Omaha,Nebraska,68106,10.0,69404.0,5783.7,17.3
23,24,Huntington Library,huntington.org,San Marino,California,91108,25.0,173312.0,14442.7,17.3
128,134,Cape Ann Museum,capeannmuseum.org,Gloucester,Massachusetts,1930,12.0,84465.0,7038.8,17.0
258,265,Pennsylvania Academy of Fine Arts,pafa.org,Philadelphia,Pennsylvania,19102,15.0,108350.0,9029.2,16.6
249,256,Philbrook Museum of Art,philbrook.org,Tulsa,Oklahoma,74114,12.5,90282.0,7523.5,16.6
315,324,Chinati Foundation,chinati.org,Marfa,Texas,79830,7.0,50584.0,4215.3,16.6
237,244,Taft Museum of Art,taftmuseum.org,Cincinnati,Ohio,45202,12.0,86765.0,7230.4,16.6
126,132,Fitchburg Art Museum,fitchburgartmuseum.org,Fitchburg,Massachusetts,1420,9.0,65599.0,5466.6,16.5
45,48,Boca Raton Museum of Art,bocamuseum.org,Boca Raton,Florida,33432,12.0,87634.0,7302.8,16.4
332,341,Abby Aldrich Rockefeller Folk Art Museum,colonialwilliamsburg.org/art-museums/rockefeller-museum,Williamsburg,Virginia,23185,13.5,98713.0,8226.1,16.4
352,362,Villa Terrace Decorative Arts Museum,villaterrace.org,Milwaukee,Wisconsin,53211,10.0,73783.0,6148.6,16.3
322,331,Tyler Museum of Art,tylermuseum.org,Tyler,Texas,75701,8.0,59107.0,4925.6,16.2
30,31,Santa Monica Art Museum,santamonicaartmuseum.com,Santa Monica,California,90401,12.0,89892.0,7491.0,16.0
212,218,Rubin Museum of Art,rubinmuseum.org,New York,New York,10011,19.5,145934.0,12161.2,16.0
99,105,New Orleans Museum of Art,noma.org,New Orleans,Louisiana,70124,15.0,113525.0,9460.4,15.9
130,136,Frelinghuysen Morris House and Studio,frelinghuysen.org,Lenox,Massachusetts,1262,10.0,75804.0,6317.0,15.8
134,140,Provincetown Art Association and Museum,paam.org,Provincetown,Massachusetts,2657,12.0,91447.0,7620.6,15.7
53,59,Naples Museum of Art,artisnaples.org,Naples,Florida,34108,15.0,115182.0,9598.5,15.6
67,73,Boise Art Museum,boiseartmuseum.org,Boise,Idaho,83702,10.0,77115.0,6426.2,15.6
181,187,Museum of Spanish Colonial Art,spanishcolonial.org,Santa Fe,New Mexico,87501,10.0,77400.0,6450.0,15.5
176,182,SITE Santa Fe,sitesantafe.org,Santa Fe,New Mexico,87501,10.0,77400.0,6450.0,15.5
88,94,Des Moines Art Center,desmoinesartcenter.org,Des Moines,Iowa,50312,10.0,77612.0,6467.7,15.5
175,181,Museum of International Folk Art,internationalfolkart.org,Santa Fe,New Mexico,87501,10.0,77400.0,6450.0,15.5
143,149,Turn Park Art Space,turnpark.com,West Stockbridge,Massachusetts,1238,10.0,77679.0,6473.2,15.4
26,27,M. H. de Young Memorial Museum,deyoung.famsf.org,San Francisco,California,94118,20.0,157143.0,13095.2,15.3
201,207,Brooklyn Museum,brooklynmuseum.org,New York,New York,11238,16.0,125747.0,10478.9,15.3
260,267,Rodin Museum,rodinmuseum.org,Philadelphia,Pennsylvania,19130,13.0,102279.0,8523.2,15.3
122,128,Peabody Museum of Archaeology and Ethnology,peabody.harvard.edu,Cambridge,Massachusetts,2138,15.0,118320.0,9860.0,15.2
324,333,Utah Museum of Contemporary Art,utahmoca.org,Salt Lake City,Utah,84101,8.0,64405.0,5367.1,14.9
40,43,Florence Griswold Museum,florencegriswoldmuseum.org,Old Lyme,Connecticut,6371,15.0,122003.0,10166.9,14.8
250,257,Sherwin Miller Museum of Jewish Art,jewishmuseum.net,Tulsa,Oklahoma,74136,6.0,49669.0,4139.1,14.5
299,308,Museum of Geometric and MADI Art,geometricmadimuseum.org,Dallas,Texas,75206,10.0,84784.0,7065.3,14.2
71,77,Museum of Contemporary Art,mcachicago.org,Chicago,Illinois,60611,15.0,126812.0,10567.7,14.2
210,216,Cooper-Hewitt Museum,cooperhewitt.org,New York,New York,10128,16.0,137253.0,11437.8,14.0
188,194,Arkell Museum,arkellmuseum.org,Canajoharie,New York,13326,9.0,77198.0,6433.2,14.0
20,21,Museum of Contemporary Art San Diego,mcasd.org,San Diego,California,92101,10.0,86403.0,7200.2,13.9
19,20,Mingei International Museum,mingei.org,San Diego,California,92101,10.0,86403.0,7200.2,13.9
17,18,USC Pacific Asia Museum,pacificasiamuseum.usc.edu,Pasadena,California,91101,10.0,86631.0,7219.2,13.9
236,243,Contemporary Arts Center,contemporaryartscenter.org,Cincinnati,Ohio,45202,10.0,86765.0,7230.4,13.8
168,174,Montclair Art Museum,montclairartmuseum.org,Montclair,New Jersey,7042,15.0,130329.0,10860.8,13.8
80,86,Illinois State Museum,illinoisstatemuseum.org,Springfield,Illinois,62703,5.0,43760.0,3646.7,13.7
112,118,Eric Carle Museum of Picture Book Art,carlemuseum.org,Amherst,Massachusetts,1060,9.0,79604.0,6633.7,13.6
286,293,The Grace Museum,thegracemuseum.org,Abilene,Texas,79601,6.0,53049.0,4420.8,13.6
253,260,Hallie Ford Museum of Art,willamette.edu/arts/hfma,Salem,Oregon,97301,6.0,53113.0,4426.1,13.6
25,26,California Palace of the Legion of Honor,legionofhonor.famsf.org,San Francisco,California,94121,15.0,132519.0,11043.2,13.6
282,289,Memphis Brooks Museum of Art,brooksmuseum.org,Memphis,Tennessee,38103,10.0,89851.0,7487.6,13.4
124,130,Cape Cod Museum of Art,ccmoa.org,Dennis,Massachusetts,2633,10.0,91974.0,7664.5,13.0
227,233,Nasher Museum of Art,nasher.duke.edu,Durham,North Carolina,27705,7.0,65935.0,5494.6,12.7
214,220,Jacques Marchais Museum of Tibetan Art,tibetanmuseum.org,New York,New York,10306,10.0,94758.0,7896.5,12.7
347,356,Huntington Museum of Art,hmoa.org,Huntington,West Virginia,25701,5.0,47557.0,3963.1,12.6
37,38,Hill-Stead Museum,hillstead.org,Farmington,Connecticut,6070,15.0,144375.0,12031.2,12.5
298,307,Museum of Biblical Art,biblicalarts.org,Dallas,Texas,75229,12.0,117083.0,9756.9,12.3
1,2,Huntsville Museum of Art,hsvmuseum.org,Huntsville,Alabama,35801,10.0,97643.0,8136.9,12.3
103,109,Ogunquit Museum of American Art,ogunquitmuseum.org,Ogunquit,Maine,3907,10.0,100455.0,8371.2,11.9
172,178,Hood Museum of Art,hoodmuseum.dartmouth.edu,Hanover,New Hampshire,3755,15.0,152865.0,12738.8,11.8
317,326,Stark Museum of Art,starkculturalvenues.org,Orange,Texas,77630,6.0,61223.0,5101.9,11.8
225,231,Bechtler Museum of Modern Art,bechtler.org,Charlotte,North Carolina,28202,9.0,95273.0,7939.4,11.3
213,219,P.S.1 Contemporary Art Center,momaps1.org,New York,New York,11101,10.0,109625.0,9135.4,10.9
119,125,Fuller Craft Museum,fullercraft.org,Brockton,Massachusetts,2324,10.0,110625.0,9218.8,10.8
309,318,"Museum of Fine Arts, Houston",mfah.org,Houston,Texas,77005,19.0,213059.0,17754.9,10.7
306,315,Bayou Bend Collection and Gardens,mfah.org/visit/bayou-bend-collection-and-gardens,Houston,Texas,77007,12.5,140536.0,11711.3,10.7
127,133,Danforth Museum,danforth.framingham.edu,Framingham,Massachusetts,1701,11.0,124532.0,10377.7,10.6
167,173,Museum of International Art,moramuseum.org,Jersey City,New Jersey,10128,12.0,137253.0,11437.8,10.5
16,17,Norton Simon Museum,nortonsimon.org,Pasadena,California,91108,15.0,173312.0,14442.7,10.4
247,254,Mabee-Gerrer Museum of Art,mgmoa.org,Shawnee,Oklahoma,74820,5.0,58703.0,4891.9,10.2
